ID,Low-res GPS (local time),Higher-res GPS (local time),1 Hz GPS (with 20 Hz IMU) (local time),Pinger (local time),GPS burst,,Eobs IMU calibration (local time),,*Pitch down then up always! Then roll left then right
Coati (Dexter),(1 fix/5 min) 7:30 pm to 5:30 am ,(1 fix/1 min) 10:30 am to 7:30 pm,5:30 am to 10:30 am,10:30 am to 7:30 pm,3,,(out of battery),,
Coati (Cocopops),(1 fix/30 min) 7:30 pm to 5:30 am ,(1 fix/1 min) 10:30 am to 7:30 pm,5:30 am to 10:30 am,10:30 am to 7:30 pm,5,,12:52ish pm (load of heave first then normal cal procedure),,
Coati (Captain Jack),(1 fix/30 min) 7:30 pm to 5:30 am ,(1 fix/1 min) 10:30 am to 7:30 pm,5:30 am to 10:30 am,10:30 am to 7:30 pm,5,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
